query,clicks,impressions,ctr,position
sweetsとbar 悠 レビュー,0,4,0.0,10.75
tabangin,0,2,0.0,8.0
tachinomi 奢酌楽 toyosaki standing bar & restaurant juggler 大阪市,0,1,0.0,5.0
take off bar,0,2,0.0,5.5
takeoff bar,0,1,0.0,4.0
technobar dfloor,0,1,0.0,89.0
technobar dfloor レビュー,0,1,0.0,21.0
terra bar,0,1,0.0,4.0
thai cafe & restaurant tabangin ตะบันกิน,0,5,0.0,10.8
thai cafe & restaurant tabangin ตะบันกิน レビュー,0,21,0.0,9.9
thai cafe & restaurant tabangin タバンギン,0,10,0.0,30.4
the auriental ジ オリエンタル,0,3,0.0,21.33
the axe throwing bar,0,1,0.0,35.0
the bar hana,0,2,0.0,10.0
the drunken clam,0,12,0.0,9.08
the public plum umeda ザ パブリック プラム ウメダ,0,1,0.0,38.0
the single うめだ阪急東通り店,0,17,0.0,9.35
the single 営業時間,0,5,0.0,6.6
the single 梅田阪急東通り店,0,37,0.0,8.78
third place bar fizz,0,16,0.0,9.0
third place bar fizz 大阪市,0,12,0.0,5.58
third place shisha cafe&sweets bar メニュー,0,11,0.0,8.82
third place shisha cafe&sweets bar レビュー,0,26,0.0,7.77
third place shisha cafe&sweets bar 写真,0,9,0.0,9.33
third place 心斎橋,0,1,0.0,20.0
tk bar,0,1,0.0,23.0
tom&jerry bar,0,8,0.0,12.38
tora鶏ya 梅田店,0,1,0.0,33.0
toride umeda,0,1,0.0,9.0
trecce,0,1,0.0,6.0
trecce トレッチェ,0,3,0.0,25.0
treebar,0,2,0.0,8.5
umeda girls bars,0,1,0.0,39.0
umedaholic hotel café & bar,0,1,0.0,22.0
unipon2kau2 ウーニーポンポンカウカウ,0,7,0.0,24.29
universe osaka,0,5,0.0,8.2
uvillage,0,5,0.0,20.2
vamos bar,0,5,0.0,9.4
vamos bar バモスバー,0,3,0.0,20.0
vanilla 梅田,0,3,0.0,7.67
vape 居酒屋,0,1,0.0,13.0
vin de vin,0,1,0.0,46.0
viva haus,0,32,0.0,6.47
vivaハウス,0,1,0.0,7.0
warm cafe,0,1,0.0,6.0
wine baccers,0,14,0.0,7.43
www.laipichu.com,0,2,0.0,5.5
wythe club,0,23,0.0,9.48
yakiniku tamaki,0,5,0.0,45.2
yakinikuen 忍鬨 野田店,0,4,0.0,13.75
yebisu bar ヱビスバー ホワイティうめだ店,0,8,0.0,38.63
yodobloom sake 梅田店,0,1,0.0,20.0
yohaku,0,1,0.0,2.0
yummy smile,0,10,0.0,8.1
zen 大阪市,0,2,0.0,11.0
zino bar,0,1,0.0,11.0
zino umeda,0,1,0.0,9.0
zino 中通り,0,7,0.0,16.85
zino 北新地,0,4,0.0,22.25
zino 天満,0,7,0.0,10.43
zino 天神,0,4,0.0,27.75
zino 梅田,0,10,0.0,18.7
zino 梅田東通り,0,7,0.0,16.75
zino 高田馬場,0,2,0.0,29.0
zino天満,0,2,0.0,8.5
ตะบันกิน,0,4,0.0,10.5
”eight”lounge shisha 大阪市,0,7,0.0,4.0
『fumus』梅田堂山店,0,1,0.0,10.0
『fumus』梅田堂山店 レビュー,0,11,0.0,4.18
〒530-0015 大阪府大阪市北区中崎西1丁目1-2 1f,0,3,0.0,10.0
〒530-0041 大阪府大阪市北区天神橋４丁目２−７ 天満松栄会館,0,6,0.0,9.7
〒530-0041 大阪府大阪市北区天神橋４丁目４−２３,0,2,0.0,5.5
〒530-0056 大阪府大阪市北区兎我野町５−７ 日宝とがの町ビル b1,0,38,0.0,10.18
あかねやこーひー,0,2,0.0,9.5
あさい 中崎町,0,7,0.0,6.86
あばー,0,2,0.0,4.5
あぷろ 03 梅田,0,6,0.0,23.67
あまの家,0,5,0.0,8.4
いざかや炭屋,0,5,0.0,39.8
いざかや西澤,0,5,0.0,32.4
うしなべセンター,0,10,0.0,6.1
うた吉,0,8,0.0,6.38
うた吉 梅田,0,12,0.0,5.17
うまいもんや心,0,1,0.0,6.0
うまいもんや心 肥後橋店,0,3,0.0,6.67
うまいもんや心・肥後橋店,0,11,0.0,14.0
うまみ屋 梅田,0,1,0.0,26.0
うまみ屋 梅田店,0,1,0.0,25.0
うめむら,0,1,0.0,1.0
ええやん 北新地,0,2,0.0,10.5
ええやん 北新地本店,0,17,0.0,12.82
ええやん北新地本店,0,3,0.0,8.67
えびすちゃん 梅田,0,1,0.0,28.0
えびすちゃん 梅田 お初天神店,0,3,0.0,23.33
えん ざ 北 新地,0,50,0.0,7.24
えんざ 北新地,0,54,0.0,7.7
えんざ北新地,0,4,0.0,7.75
えん座 北新地,0,25,0.0,7.48
えん座 北新地店,0,10,0.0,10.1
おこげもんじゃ ラウンジ岡野 兎我野,0,23,0.0,38.41
おさけとごはん てっぺん シュセン,0,31,0.0,5.65
おしゃんてい,0,2,0.0,9.5
おでんとお蕎麦居酒屋 じんべえ,0,7,0.0,19.43
おでんとお蕎麦居酒屋じんべえ 2ビル店,0,10,0.0,8.9
おでんとお蕎麦居酒屋じんべえ2ビル店,0,26,0.0,9.19
おでんと串 大衆酒場 だるま商店,0,14,0.0,9.79
おにぎり,0,2,0.0,7.5
おにぎりbar,0,1,0.0,1.0
おにぎりバー,0,1,0.0,1.0
おばんざい ゲイ bar tchin-tchin バー ちんちん 大阪市,0,32,0.0,5.91
おばんざいおでん魚居酒屋なんばエイト,0,2,0.0,21.0
おばんざい鈴 夜 スナック,0,1,0.0,1.0
おふくろの味 大番,0,2,0.0,10.0
お初 天神 居酒屋 喫煙可,0,3,0.0,8.33
お初天神 bar,0,1,0.0,2.0
お初天神 アソビバー,0,1,0.0,11.0
お初天神 カラオケバー,0,3,0.0,14.25
お初天神 シーシャ,0,1,0.0,16.0
お初天神 スナック,0,3,0.0,1.0
お初天神 タバコ吸える 居酒屋,0,42,0.0,24.75
お初天神 喫煙可,0,3,0.0,11.33
お初天神 喫煙可 居酒屋,0,7,0.0,9.57
お初天神 喫煙所,0,12,0.0,9.8
お初天神 居酒屋 喫煙可,0,86,0.0,24.49
お初天神応援団 勝男,0,6,0.0,30.5
お晩酌 芽,0,1,0.0,13.0
お晩酌 芽 レビュー,0,2,0.0,10.5
お酒の美術館 リンクス梅田,0,1,0.0,11.0
お酒の美術館リンクス梅田店,0,5,0.0,27.25
お魚ときどきお肉 梅田店,0,4,0.0,26.75
お魚と日本酒 七代目なお レビュー,0,1,0.0,17.0
かがやきキッチン 梅田,0,35,0.0,7.54
かくれんぼ スナック,0,1,0.0,1.0
かっちゃん 喫煙,0,1,0.0,6.0
かっぱ横丁 喫煙所,0,1,0.0,10.0
かっぱ横丁 百番,0,7,0.0,11.0
かどや 西成,0,5,0.0,11.4
かど升 梅田,0,2,0.0,24.5
かぶんす,0,7,0.0,7.71
かわぐち 心斎橋,0,1,0.0,22.0
かわのや 西梅田,0,1,0.0,11.0
かわの屋 西梅田本店,0,2,0.0,11.0
ぎょうざ茶包,0,2,0.0,32.0
くいだおれビル 喫煙所,0,3,0.0,11.67
げんげん 野田,0,7,0.0,7.57
この下,0,1,0.0,10.0
さしすせそ お初天神,0,1,0.0,19.0
さしすせそ 梅田,0,2,0.0,16.5
さしすせそお初天神,0,1,0.0,15.0
さやみすたいる,0,3,0.0,9.67
さよならテンさん,0,3,0.0,8.0
さよなら天さん 肥後橋,0,1,0.0,16.0
しきの花,0,2,0.0,21.0
しゃかりき 居酒屋,0,1,0.0,9.0
しゃかりき432 難波元町店,0,1,0.0,18.0
しんちゃん 大阪梅田堂山町,0,2,0.0,24.0
しん家 梅田,0,1,0.0,11.0
しん家 第2ビル,0,4,0.0,9.25
しーしゃ喫茶店 北新地店,0,9,0.0,22.44
しーしゃ喫茶店 天満店,0,3,0.0,8.33
しーしゃ喫茶店 梅田店,0,1,0.0,9.0
じゃうでぃむ,0,4,0.0,7.75
じんべえ おでん,0,1,0.0,36.0
じんべえ 梅田,0,3,0.0,23.0
じんべえ 梅田 第2ビル,0,10,0.0,9.3
じんべえ 駅ビル,0,1,0.0,9.0
すがた 焼き鳥,0,1,0.0,8.0
すきや めん 口コミ,0,1,0.0,20.0
すきやめん,0,4,0.0,11.0
すきやめん 島之内,0,11,0.0,9.09
すし魚貴,0,2,0.0,8.5
すみれ鳥 難波,0,7,0.0,10.86
せんべろゆうじ,0,1,0.0,15.0
そば処 松風,0,6,0.0,23.5
たか鳥 なんば座裏店,0,3,0.0,27.67
たこ焼き酒場 ん,0,8,0.0,16.63
たじまや 輝 西天満,0,8,0.0,21.25
たちばなヒルトンプラザイースト店,0,1,0.0,28.0
たぬき 梅田,0,1,0.0,10.0
だし まる,0,2,0.0,59.0
だしのや 梅田本店,0,2,0.0,17.5
だしまる 谷町四丁目,0,2,0.0,10.0
だぶるばい,0,1,0.0,18.0
だるま 喫煙,0,3,0.0,14.0
だるま商店 梅田,0,21,0.0,10.43
だるま商店 梅田 レビュー,0,4,0.0,12.0
だるま商店 梅田店,0,4,0.0,18.0
だるま商店梅田,0,2,0.0,13.0
ちはやぶる 北新地,0,1,0.0,2.0
ちびすけ 南心斎橋店,0,11,0.0,19.91
ちびすけ南心斎橋店,0,1,0.0,11.0
ちょい呑み食堂 tutini,0,1,0.0,8.0
ちょい呑み食堂 tutini トゥティニ,0,3,0.0,22.0
ちんちんbar,0,2,0.0,3.0
ちんちんばー,0,3,0.0,9.67
ちんちんバー,0,2,0.0,42.0
ぢどり亭 大国町,0,4,0.0,7.25
ぢどり亭 大国町店,0,9,0.0,20.67
つるピカハゲ丸くん 京橋,0,2,0.0,10.5
てっぱん色彩,0,1,0.0,10.0
てっぺん 中津,0,2,0.0,4.5
てんまる 堀江,0,8,0.0,10.13
とっとっと お初天神,0,3,0.0,23.33
とっとっと 大阪梅田東通り店,0,2,0.0,42.0
とっとっと 梅田,0,1,0.0,38.0
とっとっと梅田お初天神,0,1,0.0,21.0
とらとり や 梅田,0,1,0.0,32.0
とり ぞう 梅田,0,1,0.0,19.0
とりえん 梅田,0,1,0.0,27.0
とりぞう 梅田店,0,5,0.0,20.0
とりで 梅田,0,7,0.0,9.29
とりで 梅田店,0,1,0.0,31.0
とりで梅田,0,1,0.0,7.0
とりとも 梅田,0,14,0.0,9.5
とり友 梅田,0,41,0.0,8.85
とり平 本店,0,1,0.0,15.0
とり甚 北新地,0,2,0.0,20.0
とん彩や,0,1,0.0,11.0
とん彩や 福島店,0,9,0.0,8.22
とん彩や福島店,0,1,0.0,6.0
とん彩や福島店 レビュー,0,1,0.0,11.0
どんがめ 喫煙,0,1,0.0,11.0
なごみバー roots,0,21,0.0,11.33
なんなんタウン双葉プラザ,0,1,0.0,34.0
なんば ジス,0,2,0.0,9.0
なんば フレッシュ,0,7,0.0,9.0
なんば 鮨 宮 レビュー,0,11,0.0,10.73
なんばウォーク 喫煙所,0,1,0.0,48.0
なんばエイト,0,1,0.0,9.0
なんばエイト レビュー,0,3,0.0,8.67
にしかわや 梅田,0,5,0.0,7.2
のこされ島,0,5,0.0,25.8
はぐれ雲なんば,0,2,0.0,9.5
はた坊 北新地,0,1,0.0,20.0
ばーちんちん,0,11,0.0,7.09
ひら 井 梅田,0,1,0.0,15.0
ひら井 梅田,0,1,0.0,18.0
ひろはち 梅田,0,2,0.0,8.0
ひろ寿司 梅田,0,1,0.0,10.0
びりちゃん 第三ビル,0,1,0.0,8.0
ふかもと,0,1,0.0,11.0
ふかもと 西梅田店,0,2,0.0,20.5
ぺろぺろばー,0,2,0.0,10.0
ぺろぺろバー,0,5,0.0,8.8
ほっこりリビング田なか,0,2,0.0,11.5
ぼくたかし,0,2,0.0,5.0
まじめや 梅田,0,1,0.0,15.0
まじめや尼崎駅前店,0,1,0.0,31.0
まっちる,0,2,0.0,14.0
まっちる シーシャカフェ&バー,0,3,0.0,10.33
まつたけ 北新地,0,2,0.0,21.5
まどもあぜる,0,4,0.0,42.5
まねきねこ 京橋 料金,0,1,0.0,25.0
まるかつ 十三,0,4,0.0,8.0
まる八とり友,0,17,0.0,7.59
むに 喫煙,0,3,0.0,8.33
むにむに 梅田,0,2,0.0,11.0
むにむに梅田,0,3,0.0,10.33
もじもじ 北新地,0,3,0.0,28.0
もじもじ 焼肉,0,3,0.0,7.33
もつ小屋酒膳ゆう,0,15,0.0,22.2
もみの木,0,1,0.0,8.0
もみの木 喫茶店,0,2,0.0,9.0
もみの木 大国町,0,31,0.0,7.19
やきとり大富豪,0,6,0.0,10.33
やきとり居酒屋daigomi53,0,13,0.0,8.0
やきとり瓦,0,17,0.0,8.88
やっすん,0,6,0.0,9.5
ゆめ咲小町,0,5,0.0,26.4
よいどころまる,0,1,0.0,5.0
よるは？,0,1,0.0,2.0
りんご屋 駅ビル,0,2,0.0,9.5
ろくきゅう,0,1,0.0,1.0
わかめ,0,1,0.0,5.0
わびすけ 難波,0,1,0.0,32.0
わびすけ 難波本店,0,6,0.0,33.83
わびすけ本店,0,7,0.0,32.57
アウル 北新地,0,9,0.0,10.67
アオバル,0,8,0.0,6.5
アジアン食堂チョロヤ,0,16,0.0,9.0
アジト 梅田,0,1,0.0,1.0
アソビバー お初天神,0,7,0.0,11.71
アソビバー 喫煙,0,4,0.0,3.5
アソビバー 梅田お初天神,0,1,0.0,10.0
アソビバー 梅田茶屋町,0,1,0.0,10.0
アソビバーお初天神,0,1,0.0,11.0
アッパレ シーシャ アメ 村,0,1,0.0,10.0
アッパレ シーシャ アメ村,0,12,0.0,8.5
アッパレシーシャ アメ村,0,12,0.0,7.92
アドリア 喫茶店,0,6,0.0,10.17
アバンザ 喫煙所,0,6,0.0,10.17
アバンザ堂島 喫煙所,0,1,0.0,10.0
アブサン ソラー なんばダイニングメゾン店,0,1,0.0,21.0
アブサンソラー なんばダイニングメゾン店,0,4,0.0,15.25
アプレシオ 福島,0,1,0.0,10.0
アミュゼヴ,0,2,0.0,11.0
アメ村 シーシャ,0,8,0.0,10.38
アメ村シーシャ,0,3,0.0,9.67
アライブ,0,1,0.0,1.0
アリオリ酒場,0,1,0.0,47.0
アルル 喫煙所,0,23,0.0,6.52
アンジュ 福島,0,1,0.0,1.0
アンジュアンジュ シャンパン通り,0,1,0.0,11.0
アンティーク 梅田,0,4,0.0,8.75
アンドジョーカー ネオ 大阪府 大阪市北区 曽根崎新地 1-5-8 ピアースエイトビル 5 osaka,0,2,0.0,10.0
アンバー 大阪市北区堂島,0,3,0.0,41.33
アーネック,0,5,0.0,16.6
アーネック 福島,0,1,0.0,8.0
イザカヤキツネ天満店 レビュー,0,62,0.0,10.32
イタリアン バル カナル,0,7,0.0,6.57
イタリアン&bar アトリエ,0,10,0.0,30.94
イタリアンダイニング グーフォ ビアンコ,0,10,0.0,25.51
イナリグリーン,0,2,0.0,31.5
イナリグリーン レビュー,0,2,0.0,10.5
イナリグリーン 桜川,0,1,0.0,10.0
イノゲート 喫煙所,0,3,0.0,12.67
イノゲート大阪 喫煙所,0,4,0.0,12.0
イルアルバータ il alberta,0,2,0.0,16.0
イル・ド・サンク,0,3,0.0,26.33
イワサキクラブ,0,26,0.0,8.62
イワサキクラブ 大阪,0,11,0.0,7.55
インド料理 マハラジャ,0,1,0.0,35.0
ウイ 大阪市北区中崎,0,3,0.0,24.33
ウイスキーボトルバーブル 北新地店,0,19,0.0,25.35
ウイスキーボトルバーブル 本店,0,11,0.0,28.32
ウッディパブ山小屋,0,1,0.0,9.0
ウメスト,0,1,0.0,10.0
ウーゾ カフェ,0,2,0.0,10.5
エキマルシェ大阪 喫煙所,0,3,0.0,12.67
エスカイヤクラブ 大阪駅前第３ビル店,0,4,0.0,20.25
エスカイヤクラブosビル店,0,8,0.0,34.5
エスカイヤクラブ駅前第3ビル店,0,2,0.0,12.0
エスカイヤクラブ駅前第３ビル店 レビュー,0,7,0.0,11.29
エスカイヤクラブ駅前第３ビル店 写真,0,3,0.0,10.67
エノリス,0,1,0.0,11.0
エビスちゃん酒場 梅田店,0,3,0.0,27.67
エビスバーホワイティうめだ店,0,7,0.0,30.71
オアシス 喫煙所,0,1,0.0,9.0
オモニ梅田,0,1,0.0,7.0
オリエンタル 梅田,0,1,0.0,13.0
オリエンタルラウンジ タバコ,0,1,0.0,8.0
オリエンタルラウンジ 喫煙,0,3,0.0,6.33
オリエンタルラウンジ 大阪駅,0,4,0.0,10.75
オリエンタルラウンジ 大阪駅前,0,158,0.0,11.03
オリエンタルラウンジ 大阪駅前店,0,5,0.0,11.6
オリエンタルラウンジ 天満,0,4,0.0,9.0
オリエンタルラウンジ大阪 駅前,0,13,0.0,10.77
オリエンタルラウンジ大阪駅前,0,74,0.0,10.03
オリエンタルラウンジ大阪駅前 レビュー,0,16,0.0,10.69
オリエンタルラウンジ大阪駅前 写真,0,3,0.0,10.33
オリエンタルラウンジ大阪駅前店,0,1,0.0,14.0
オリエンタルラウンジ天満,0,1,0.0,11.0
オリエンタル大阪駅前,0,25,0.0,9.56
オリラジ 大阪駅前,0,1,0.0,11.0
オースリー 梅田,0,13,0.0,11.38
オースリー梅田,0,12,0.0,10.92
オーヨドアベニュー 梅田,0,1,0.0,9.0
カガヤキ,0,7,0.0,20.86
カガヤキ 福島,0,1,0.0,21.0
カクテルマシーン なんば,0,2,0.0,11.0
カクテルマシーン 難波,0,2,0.0,10.0
カクテルマシーン 難波店,0,4,0.0,12.25
カクテルマシーンcocktail machine namba レビュー,0,21,0.0,10.76
カクテルマシーン心斎橋店,0,3,0.0,32.33
カジュアル和食 メゾンプラス,0,8,0.0,24.88
カジュアル和食 メゾンプラス 梅田,0,3,0.0,8.0
カドム 北新地,0,1,0.0,11.0
カフェ ピアッツア デル ポポロ,0,2,0.0,10.0
カフェ ミエル,0,1,0.0,3.0
カフェ ミエル と は 飲み物,0,8,0.0,1.0
カフェ 三番館,0,1,0.0,9.0
カフェ 現在営業中,0,1,0.0,1.0
カフェ&bar 梅田ホリックホテル内,0,11,0.0,35.18
カフェ&バー grass グラス なんば心斎橋店,0,8,0.0,32.38
カフェ&ビストロ for yu,0,9,0.0,11.33
カフェ&ビストロ for yu 写真,0,2,0.0,9.5
カフェアロンジ,0,4,0.0,8.25
カフェクロス,0,1,0.0,8.0
カフェド杏道麗,0,9,0.0,5.22
カフェバーdonna,0,2,0.0,41.0
カフェバーノーネーム,0,2,0.0,18.5
カフェミエル,0,5,0.0,3.6
カフェミエル 喫煙,0,6,0.0,7.92
カフェ・ド・プティ,0,1,0.0,3.0
カフェ・プチ・アンドレ,0,1,0.0,12.0
カフェ・ミエル,0,2,0.0,3.5
カフェ三番館,0,6,0.0,10.67
カフェ三番館なんば店,0,9,0.0,8.0
カフェ三番館なんば店 メニュー,0,9,0.0,10.22
カフェ英國屋 なんば本社,0,1,0.0,7.0
カフェ英國屋 なんば本社 レビュー,0,4,0.0,9.75
カフェ英國屋 なんば本社／なんばマルイ北通り店,0,4,0.0,8.5
カフェ＆バー ａｌｌ ｂｌｕｅ（オールブルー）,0,2,0.0,22.0
カラオケ バー 梅田,0,1,0.0,60.0
カラオケbar neon,0,2,0.0,33.5
カラオケかくれんぼ,0,1,0.0,1.0
カラオケまねきねこ 京橋店 レビュー,0,1,0.0,11.0
カラオケまねきねこ 京橋店 写真,0,1,0.0,6.0
カラオケカフェｔｏｍｏ,0,3,0.0,21.0
カラオケスタジオとも,0,2,0.0,39.0
カラオケトモ,0,9,0.0,32.0
カラオケバー neo 梅田2号店,0,4,0.0,9.0
カラオケバー neo 梅田２号店 大阪市,0,56,0.0,8.57
カラオケバー neo 梅田２号店 大阪市 レビュー,0,72,0.0,5.76
カラオケバー ジーノ,0,2,0.0,6.5
カラオケバー 近く,0,1,0.0,36.0
カラオケバーneo,0,14,0.0,8.86
カレー,0,1,0.0,1.0
カンジャン ケジャン 渡 梅田,0,11,0.0,10.82
カンジャンケジャン渡 大阪西天満店,0,4,0.0,17.75
カンジャンケジャン渡 梅田,0,6,0.0,12.67
カードシャーク,0,1,0.0,16.0
ガシウメガレージ,0,36,0.0,7.56
ガストロパブ3fdiner,0,3,0.0,8.67
ガルバ,0,1,0.0,1.0
ガーブウィークス,0,4,0.0,33.75
キタのみかん,0,3,0.0,25.67
キッチン酒場 こぶた,0,15,0.0,33.07
キッテ 喫煙所,0,1,0.0,39.0
キミエール,0,4,0.0,33.75
キャバレー 難波,0,1,0.0,1.0
キヨミズホール,0,1,0.0,30.0
キングス バー,0,1,0.0,6.0
キングス 喫煙所,0,1,0.0,9.0
キーフェル,0,1,0.0,4.0
キーフェル パフェ,0,1,0.0,11.0
キーフェル 三番街,0,4,0.0,9.5
キーフェル 阪急三番街,0,5,0.0,10.4
キーフェル 阪急三番街店,0,5,0.0,10.8
キーフェル三番街,0,24,0.0,9.71
ギャラリーバー苺,0,6,0.0,8.83
クラブ k,0,1,0.0,1.0
クラブ 喫煙,0,1,0.0,7.0
クラブk,0,1,0.0,1.0
クワトロガット,0,2,0.0,10.5
グラス シーシャ,0,2,0.0,7.5
グラスシーシャ,0,1,0.0,11.0
グランフロント 喫煙,0,2,0.0,11.0
グランフロント 喫煙所,0,2,0.0,22.5
グランフロント大阪 喫煙,0,1,0.0,12.0
グランフロント大阪 喫煙所,0,1,0.0,23.0
ケムリ 北浜,0,1,0.0,11.0
ゲイバー,0,1,0.0,14.0
ゲイバー strawberry time,0,2,0.0,7.0
ゲイバー 堂山,0,2,0.0,45.0
ゲイバー 検索,0,1,0.0,4.0
ゲームバー picoty,0,6,0.0,11.0
ゲームバーpicoty,0,12,0.0,7.83
ゲームバーpicoty レビュー,0,3,0.0,9.0
ゲームバーpicoty 大阪梅田,0,4,0.0,7.0
コアガリ,0,1,0.0,23.0
ココヘッド カフェ 大阪,0,1,0.0,48.0
コプチャンち 難波心斎橋店,0,5,0.0,20.2
コミセン河家,0,38,0.0,8.71
コーストスタジョーネビル,0,1,0.0,11.0
コーズ,0,1,0.0,2.0
コーヒーショップリオ,0,3,0.0,34.67
ゴリゴリミートルーム,0,2,0.0,24.0
ゴールデンウィークの営業日,0,1,0.0,1.0
サカトリーナ,0,1,0.0,19.0
サカトリーナ 梅田,0,3,0.0,10.67
サカトリーナ 梅田東通り,0,3,0.0,32.33
サカバ・ニッチ（ｓａｋａｂａ・ｎｉｔｃｈ）,0,6,0.0,9.67
サヤミスタイル,0,19,0.0,16.97
サヤミスタイル 予約,0,13,0.0,8.31
サヨナラ天さん,0,9,0.0,8.44
サヨナラ天サン,0,17,0.0,5.76
サヨナラ天サン レビュー,0,14,0.0,9.0
サロンドムーン,0,1,0.0,6.0
サロンドムーンライト,0,13,0.0,8.46
サントリー アダルト,0,1,0.0,13.0
サントリーアダルト,0,6,0.0,10.67
サントリーバー&ダイニング 水響亭,0,10,0.0,31.7
サンボア大阪ターミナル,0,9,0.0,7.44
サンマルク 喫煙,0,4,0.0,11.25
サンマルク 喫煙ブース,0,1,0.0,8.0
サンマルク 堂島,0,1,0.0,20.0
サンマルクカフェ 喫煙,0,4,0.0,22.67
サンマルクカフェ 喫煙可,0,1,0.0,13.0
サンマルクカフェ 喫煙所,0,2,0.0,8.5
サンマルクカフェ喫煙,0,1,0.0,13.0
サンマルクカフェ大阪堂島店,0,4,0.0,18.0
サードプレイス,0,1,0.0,2.0
ザ シングル 梅田,0,14,0.0,10.64
ザ テンプルバー,0,2,0.0,10.0
ザ フレッシュ,0,1,0.0,8.0
ザシングル 営業時間,0,1,0.0,5.0
ザシングル 梅田 口コミ,0,2,0.0,12.0
ザシングル梅田,0,12,0.0,9.25
ザフレッシュ なんば,0,1,0.0,9.0
ザフレッシュ 大阪,0,2,0.0,10.5
ザ・フレッシュ,0,17,0.0,16.88
ザ・フレッシュ 写真,0,1,0.0,11.0
シスターズ,0,1,0.0,8.0
シスターズ 梅田,0,1,0.0,18.0
シャバーノ,0,1,0.0,8.0
シャバーノ 焼き鳥,0,1,0.0,11.0
シャンパンバー gypsy13,0,1,0.0,10.0
ショットバー,0,1,0.0,6.0
ショットバー もも,0,5,0.0,22.6
ショットバーｑｕａｒ,0,4,0.0,22.5
シングル 梅田,0,53,0.0,10.23
シングル 梅田 相席,0,11,0.0,10.55
シングル 相席屋 梅田,0,8,0.0,12.75
シーシャ カフェ&バー c.stand シースタンド 梅田東通り商店街店,0,2,0.0,9.0
シーシャ カフェ＆バー c.stand シースタンド 梅田茶屋町店 北区 ２ レビュー,0,8,0.0,10.0
シーシャ 北新地,0,1,0.0,7.0
シーシャ 喫茶店 天満,0,34,0.0,7.97
シーシャ 梅田,0,1,0.0,15.0
シーシャ 白煙,0,1,0.0,27.0
シーシャカフェ & バー appare shishaアメ村店,0,1,0.0,10.0
シーシャカフェ 梅田,0,1,0.0,45.0
シーシャカラオケバーアイビス梅田堂山店,0,5,0.0,9.8
シーシャカラオケバーアイビス梅田堂山店 大阪市 レビュー,0,1,0.0,8.0
シーシャバー 北新地,0,1,0.0,21.0
シーシャバーアイビス梅田堂山店,0,1,0.0,11.0
シーシャ喫茶店,0,1,0.0,13.0
シーシャ喫茶店 天満,0,32,0.0,8.94
シースタンド 東通り,0,1,0.0,6.0
シースタンド 梅田東通り,0,1,0.0,5.0
ジェット 梅田,0,12,0.0,7.17
ジス ナンバ,0,2,0.0,14.5
ジス ナンバ レビュー,0,30,0.0,10.4
ジス 難波,0,2,0.0,16.0
ジスなんば,0,1,0.0,12.0
ジス難波,0,4,0.0,19.75
ジッピー・バー,0,1,0.0,21.0
ジツボ,0,2,0.0,12.0
ジツボ 土佐堀店,0,16,0.0,31.85
ジビエール,0,1,0.0,8.0
ジビエール 大阪,0,2,0.0,5.5
ジャジャバー,0,19,0.0,10.0
ジャズ喫茶 大阪,0,1,0.0,1.0
ジャポニカサード,0,1,0.0,11.0
ジャポニカサード 梅田,0,10,0.0,12.0
ジャンカラ タバコ吸える,0,2,0.0,11.5
ジャンカラ 喫煙,0,10,0.0,9.83
ジャンカラ 喫煙ルーム,0,2,0.0,27.5
ジャンカラ 喫煙所,0,1,0.0,13.0
ジャンカラ 梅田,0,5,0.0,37.0
ジャンカラ 梅田 安い,0,1,0.0,65.0
ジャンカラ 梅田 芝 田町 店,0,4,0.0,38.75
ジャンカラ 梅田芝田町店,0,2,0.0,14.5
ジャンカラ 梅田芝田町店 レビュー,0,39,0.0,10.67
ジャンカラ 道頓堀店 レビュー,0,5,0.0,12.0
ジャンカラ 電子タバコ,0,1,0.0,17.0
ジャンカラタバコ吸える,0,2,0.0,11.5
ジュニパー,0,2,0.0,76.5
ジュークトゥエンティ,0,12,0.0,7.0
ジョリーコアン,0,3,0.0,26.67
ジョリー・コアン,0,3,0.0,22.0
ジル 北新地,0,1,0.0,8.0
ジローズジュニア,0,1,0.0,27.0
ジローズジュニア girond's jr,0,8,0.0,25.5
ジーノ お初天神,0,1,0.0,8.0
ジーノ カラオケバー,0,2,0.0,8.0
ジーノ バー,0,3,0.0,10.5
ジーノ 天満,0,12,0.0,8.5
ジーノ 梅田,0,22,0.0,19.72
ジーノ天満,0,7,0.0,9.14
ジーノ梅田,0,1,0.0,11.0
ジーホリック,0,8,0.0,8.88
ジーホリック 大阪,0,5,0.0,7.8
ジーホリック 梅田,0,1,0.0,8.0
スカポンタン 天満,0,4,0.0,4.5
スタンド q,0,14,0.0,7.79
スタンド 健康優良不良酒場,0,22,0.0,7.05
スタンドfab,0,6,0.0,8.17
スタンドq,0,34,0.0,7.18
スタンドq なんば,0,8,0.0,7.5
スタンドアルル,0,13,0.0,9.15
スタンドコノミ,0,9,0.0,11.33
スタンド健康優良不良酒場,0,25,0.0,5.96
スタンド呑処 大衆酒蔵 丸勝 十三店,0,35,0.0,9.23
スタンド呑処 大衆酒蔵 丸勝 十三店 メニュー,0,5,0.0,11.0
スタンド呑処 大衆酒蔵 丸勝 十三店 写真,0,5,0.0,10.2
スター リスト 梅田,0,39,0.0,9.51
スターリスト,0,5,0.0,7.6
